// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Option Flags: AHS Disabled ICC Disabled 
// Firmware Version: 4.3.5
PacketCounter	Acc_X	Acc_Y	Acc_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
08551	0.129727	0.149019	9.807269	0.999932	0.005879	-0.006404	-0.007827
08552	0.131010	0.125684	9.780105	0.999932	0.005887	-0.006394	-0.007838
08553	0.120013	0.140674	9.790261	0.999932	0.005882	-0.006385	-0.007841
08554	0.124943	0.127789	9.793936	0.999932	0.005892	-0.006377	-0.007830
08555	0.140068	0.099993	9.787469	0.999932	0.005887	-0.006369	-0.007839
08556	0.116321	0.108278	9.794409	0.999932	0.005874	-0.006357	-0.007837
08557	0.132662	0.112829	9.783826	0.999932	0.005880	-0.006345	-0.007836
08558	0.104469	0.123222	9.804570	0.999932	0.005877	-0.006340	-0.007817
08559	0.132662	0.145321	9.779723	0.999932	0.005869	-0.006360	-0.007811
08560	0.146168	0.140851	9.800428	0.999932	0.005876	-0.006363	-0.007823
08561	0.114153	0.097361	9.811929	0.999932	0.005869	-0.006344	-0.007847
08562	0.137549	0.121517	9.800900	0.999932	0.005877	-0.006342	-0.007847
08563	0.128756	0.113243	9.783873	0.999932	0.005881	-0.006350	-0.007862
08564	0.131807	0.123589	9.814725	0.999932	0.005867	-0.006338	-0.007860
08565	0.134263	0.132624	9.783446	0.999932	0.005866	-0.006336	-0.007857
08566	0.126507	0.113109	9.783904	0.999932	0.005861	-0.006330	-0.007855
08567	0.134191	0.121628	9.800945	0.999932	0.005868	-0.006350	-0.007875
08568	0.126767	0.102226	9.801396	0.999932	0.005864	-0.006353	-0.007876
08569	0.133167	0.121701	9.800958	0.999932	0.005861	-0.006355	-0.007877
08570	0.124233	0.113307	9.783931	0.999932	0.005866	-0.006342	-0.007875
08571	0.112036	0.139394	9.776589	0.999932	0.005870	-0.006341	-0.007865
08572	0.103615	0.132218	9.821693	0.999932	0.005861	-0.006339	-0.007875
08573	0.143855	0.116110	9.759573	0.999932	0.005861	-0.006336	-0.007878
08574	0.129620	0.122061	9.801001	0.999932	0.005874	-0.006330	-0.007881
08575	0.122131	0.102664	9.801451	0.999932	0.005866	-0.006350	-0.007879
08576	0.126000	0.100640	9.787654	0.999932	0.005857	-0.006330	-0.007884
08577	0.122029	0.135092	9.797347	0.999932	0.005866	-0.006341	-0.007886
08578	0.127190	0.122278	9.801030	0.999932	0.005869	-0.006338	-0.007898
08579	0.126536	0.122295	9.801038	0.999932	0.005862	-0.006342	-0.007885
08580	0.138543	0.128769	9.804284	0.999932	0.005857	-0.006334	-0.007887
08581	0.112375	0.115695	9.797820	0.999932	0.005857	-0.006328	-0.007885
08582	0.140429	0.094419	9.794620	0.999932	0.005911	-0.006472	-0.007707
08583	0.128421	0.120529	9.787266	0.999932	0.005924	-0.006476	-0.007706
08584	0.140451	0.127199	9.790513	0.999932	0.005919	-0.006467	-0.007713
08585	0.122440	0.122517	9.801088	0.999932	0.005911	-0.006460	-0.007705
08586	0.131969	0.107683	9.790974	0.999932	0.005918	-0.006462	-0.007715
08587	0.126952	0.109724	9.804782	0.999932	0.005915	-0.006476	-0.007714
08588	0.125202	0.120692	9.787306	0.999932	0.005903	-0.006472	-0.007707
08589	0.137373	0.127158	9.790557	0.999932	0.005902	-0.006488	-0.007710
08590	0.131130	0.096727	9.808485	0.999932	0.005909	-0.006490	-0.007709
08591	0.125850	0.142142	9.800692	0.999932	0.005892	-0.006476	-0.007698
08592	0.141181	0.114280	9.794266	0.999932	0.005901	-0.006486	-0.007697
08593	0.140573	0.114375	9.794274	0.999932	0.005896	-0.006478	-0.007706
08594	0.132890	0.094775	9.794722	0.999932	0.005885	-0.006476	-0.007707
08595	0.134736	0.116183	9.808094	0.999932	0.005887	-0.006482	-0.007705
08596	0.130497	0.105776	9.777253	0.999932	0.005876	-0.006483	-0.007706
08597	0.132199	0.127114	9.790629	0.999932	0.005872	-0.006475	-0.007716
08598	0.131506	0.127069	9.790639	0.999932	0.005866	-0.006480	-0.007703
08599	0.129732	0.094754	9.794764	0.999932	0.005882	-0.006486	-0.007711
08600	0.148679	0.121066	9.797589	0.999932	0.005886	-0.006474	-0.007708
08601	0.136608	0.103422	9.811831	0.999932	0.005871	-0.006489	-0.007695
08602	0.134817	0.114312	9.794355	0.999932	0.005865	-0.006481	-0.007698
08603	0.143158	0.110533	9.766769	0.999932	0.005871	-0.006481	-0.007693
