// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Option Flags: AHS Disabled ICC Disabled 
// Firmware Version: 4.3.5
PacketCounter	Acc_X	Acc_Y	Acc_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
08551	0.027271	0.040818	9.835286	0.999997	0.001399	-0.001948	-0.000050
08552	0.045960	0.047582	9.839178	0.999997	0.001397	-0.001949	-0.000021
08553	0.042317	0.032172	9.825464	0.999997	0.001393	-0.001938	-0.000032
08554	0.028562	0.005774	9.826089	0.999997	0.001389	-0.001944	-0.000031
08555	0.017814	-0.005414	9.840429	0.999997	0.001381	-0.001945	-0.000031
08556	0.030227	0.020599	9.839812	0.999997	0.001381	-0.001941	-0.000040
08557	0.029481	0.020547	9.839814	0.999997	0.001386	-0.001932	-0.000047
08558	0.035413	0.033685	9.839508	0.999997	0.001395	-0.001940	-0.000063
08559	0.044909	0.044628	9.825175	0.999997	0.001398	-0.001924	-0.000067
08560	0.031248	0.018264	9.825792	0.999997	0.001392	-0.001943	-0.000037
08561	0.040809	0.029043	9.811461	0.999997	0.001391	-0.001923	-0.000056
08562	0.023207	0.004860	9.826104	0.999997	0.001391	-0.001917	-0.000059
08563	0.037965	0.013668	9.844038	0.999997	0.001378	-0.001910	-0.000059
08564	0.051213	0.022247	9.815683	0.999997	0.001379	-0.001923	-0.000057
08565	0.018236	0.038905	9.835315	0.999997	0.001388	-0.001923	-0.000055
08566	0.036823	0.045680	9.839225	0.999997	0.001377	-0.001934	-0.000054
08567	0.045946	0.024111	9.829718	0.999997	0.001387	-0.001930	-0.000054
08568	0.047654	0.006743	9.848263	0.999997	0.001368	-0.001925	-0.000047
08569	0.041819	0.008370	9.816000	0.999997	0.001370	-0.001939	-0.000062
08570	0.028106	0.031750	9.839538	0.999997	0.001358	-0.001948	-0.000051
08571	0.034138	0.044632	9.839240	0.999997	0.001359	-0.001949	-0.000040
08572	0.049830	0.036249	9.829432	0.999997	0.001366	-0.001957	-0.000038
08573	0.041531	0.008065	9.862301	0.999997	0.001364	-0.001963	-0.000048
08574	0.010486	0.022338	9.821602	0.999997	0.001375	-0.001961	-0.000048
08575	0.038099	0.025182	9.843764	0.999997	0.001379	-0.001979	-0.000044
08576	0.022058	0.016033	9.825821	0.999997	0.001376	-0.001968	-0.000056
08577	0.038148	0.040075	9.811203	0.999997	0.001392	-0.001975	-0.000073
08578	0.039961	0.022971	9.829747	0.999997	0.001394	-0.001977	-0.000063
