// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Option Flags: AHS Disabled ICC Disabled 
// Firmware Version: 4.3.5
PacketCounter	Acc_X	Acc_Y	Acc_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
08551	0.064519	0.058834	9.814108	0.999989	0.003085	-0.003424	0.000694
08552	0.058262	0.068799	9.791263	0.999989	0.003081	-0.003424	0.000691
08553	0.049048	0.060905	9.808466	0.999989	0.003083	-0.003418	0.000654
08554	0.061627	0.059557	9.814123	0.999989	0.003076	-0.003436	0.000665
08555	0.066122	0.050042	9.836979	0.999989	0.003079	-0.003440	0.000659
08556	0.053092	0.032906	9.822996	0.999989	0.003076	-0.003439	0.000654
08557	0.058899	0.060096	9.814136	0.999989	0.003067	-0.003432	0.000656
08558	0.048020	0.075443	9.804049	0.999989	0.003077	-0.003450	0.000659
08559	0.065705	0.064597	9.832566	0.999989	0.003081	-0.003437	0.000651
08560	0.055909	0.061026	9.814148	0.999989	0.003078	-0.003436	0.000650
08561	0.046839	0.053162	9.831346	0.999989	0.003084	-0.003447	0.000649
08562	0.050765	0.048081	9.818587	0.999989	0.003084	-0.003450	0.000658
08563	0.040188	0.059093	9.844112	0.999989	0.003082	-0.003439	0.000649
08564	0.074111	0.064408	9.838256	0.999989	0.003086	-0.003435	0.000664
08565	0.060617	0.051647	9.788647	0.999989	0.003087	-0.003442	0.000663
08566	0.067051	0.074670	9.815405	0.999989	0.003086	-0.003446	0.000672
08567	0.040926	0.054881	9.831363	0.999989	0.003093	-0.003432	0.000646
08568	0.055997	0.015657	9.820390	0.999989	0.003078	-0.003441	0.000643
08569	0.057121	0.048298	9.824286	0.999989	0.003088	-0.003430	0.000636
08570	0.064350	0.056823	9.807101	0.999989	0.003092	-0.003442	0.000643
08571	0.072212	0.061018	9.825535	0.999989	0.003097	-0.003452	0.000645
08572	0.071274	0.061342	9.825540	0.999989	0.003098	-0.003446	0.000650
08573	0.039954	0.051149	9.818621	0.999989	0.003096	-0.003445	0.000644
08574	0.057132	0.044463	9.811551	0.999989	0.003102	-0.003441	0.000657
08575	0.052527	0.031273	9.815990	0.999989	0.003106	-0.003424	0.000648
08576	0.061926	0.072186	9.802693	0.999989	0.003109	-0.003442	0.000661
08577	0.059346	0.035721	9.834434	0.999989	0.003109	-0.003434	0.000645
08578	0.051787	0.064473	9.819886	0.999989	0.003096	-0.003437	0.000654
08579	0.069033	0.057740	9.812827	0.999989	0.003105	-0.003437	0.000648
08580	0.060002	0.049950	9.830014	0.999989	0.003107	-0.003455	0.000639
08581	0.050476	0.046464	9.811578	0.999989	0.003116	-0.003444	0.000632
08582	0.053281	0.055957	9.842771	0.999989	0.003106	-0.003448	0.000631
08583	0.048471	0.047008	9.811586	0.999989	0.003120	-0.003444	0.000627
08584	0.067849	0.072746	9.808416	0.999989	0.003102	-0.003451	0.000629
08585	0.058661	0.064838	9.825601	0.999989	0.003116	-0.003445	0.000603
08586	0.070988	0.063598	9.831303	0.999989	0.003108	-0.003442	0.000620
08587	0.054284	0.032909	9.821733	0.999989	0.003111	-0.003425	0.000620
08588	0.055176	0.065660	9.825616	0.999989	0.003111	-0.003417	0.000629
08589	0.077186	0.053493	9.805834	0.999989	0.003101	-0.003424	0.000622
08590	0.058647	0.056295	9.848503	0.999989	0.003095	-0.003445	0.000617
08591	0.057379	0.060823	9.812883	0.999989	0.003100	-0.003429	0.000610
08592	0.066149	0.046066	9.823028	0.999989	0.003101	-0.003423	0.000638
08593	0.048355	0.034212	9.821760	0.999989	0.003086	-0.003430	0.000637
08594	0.059528	0.051760	9.835780	0.999989	0.003092	-0.003431	0.000635
08595	0.054765	0.042911	9.804593	0.999989	0.003098	-0.003432	0.000637
08596	0.062451	0.047212	9.823046	0.999989	0.003112	-0.003438	0.000633
08597	0.055029	0.076142	9.808470	0.999989	0.003106	-0.003436	0.000639
08598	0.050569	0.062786	9.812908	0.999989	0.003102	-0.003436	0.000637
08599	0.049548	0.063144	9.812911	0.999989	0.003116	-0.003431	0.000635
08600	0.068081	0.037613	9.797591	0.999989	0.003111	-0.003429	0.000633
08601	0.049173	0.040457	9.840241	0.999989	0.003105	-0.003426	0.000648
08602	0.064869	0.056896	9.805904	0.999989	0.003106	-0.003443	0.000641
08603	0.045919	0.064044	9.812923	0.999989	0.003097	-0.003449	0.000631
08604	0.048760	0.073539	9.844117	0.999989	0.003103	-0.003448	0.000639
08605	0.049042	0.054823	9.835821	0.999989	0.003093	-0.003441	0.000642
08606	0.069663	0.061621	9.824382	0.999989	0.003099	-0.003442	0.000640
