// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Option Flags: AHS Disabled ICC Disabled 
// Firmware Version: 4.3.5
PacketCounter	Acc_X	Acc_Y	Acc_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
39183	-9.596943	0.195227	-1.676153	-0.641694	-0.038132	-0.765775	0.019063
39184	-9.598554	0.180520	-1.771173	-0.641674	-0.037919	-0.765806	0.018924
39185	-9.521573	0.158824	-1.760468	-0.641661	-0.037889	-0.765819	0.018920
39186	-9.538361	0.176853	-1.714315	-0.641636	-0.037821	-0.765845	0.018825
39187	-9.571593	0.171918	-1.673810	-0.641607	-0.037804	-0.765872	0.018737
39188	-9.509108	0.189031	-1.702005	-0.641492	-0.037782	-0.765972	0.018617
39189	-9.595908	0.223525	-1.748172	-0.641284	-0.037784	-0.766149	0.018502
39190	-9.601863	0.268292	-1.924142	-0.641213	-0.037756	-0.766214	0.018354
39191	-9.579845	0.328534	-1.780002	-0.641116	-0.037977	-0.766281	0.018454
39192	-9.539722	0.326365	-1.738453	-0.641008	-0.038162	-0.766359	0.018585
39193	-9.544926	0.328892	-1.817234	-0.640899	-0.038291	-0.766444	0.018625
39194	-9.554775	0.345681	-1.863668	-0.640766	-0.038288	-0.766556	0.018553
39195	-9.613446	0.392495	-1.890690	-0.640645	-0.038198	-0.766667	0.018348
39196	-9.549674	0.371877	-1.836850	-0.640613	-0.038190	-0.766696	0.018257
39197	-9.568831	0.278332	-1.770199	-0.640549	-0.038229	-0.766748	0.018236
39198	-9.584242	0.305904	-1.768159	-0.640486	-0.038304	-0.766797	0.018253
39199	-9.578992	0.339963	-1.778225	-0.640488	-0.038291	-0.766796	0.018221
39200	-9.536909	0.352745	-1.806465	-0.640425	-0.038192	-0.766858	0.018073
39201	-9.549363	0.354292	-1.780025	-0.640346	-0.038129	-0.766929	0.017989
39202	-9.560479	0.259725	-1.968564	-0.640278	-0.037908	-0.767002	0.017763
39203	-9.492319	0.277427	-1.785889	-0.640231	-0.037885	-0.767043	0.017719
39204	-9.573056	0.218018	-1.685223	-0.640110	-0.037881	-0.767146	0.017652
39205	-9.583358	0.231705	-1.717176	-0.640003	-0.037892	-0.767236	0.017616
39206	-9.569552	0.277813	-1.726384	-0.639888	-0.037883	-0.767333	0.017542
39207	-9.574989	0.232962	-1.681342	-0.639710	-0.037906	-0.767480	0.017586
39208	-9.548317	0.273358	-1.707475	-0.639556	-0.037965	-0.767605	0.017570
39209	-9.563901	0.298057	-1.693606	-0.639390	-0.037977	-0.767744	0.017508
39210	-9.583221	0.335250	-1.797439	-0.639216	-0.037993	-0.767890	0.017434
