// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Option Flags: AHS Disabled ICC Disabled 
// Firmware Version: 4.3.5
PacketCounter	Acc_X	Acc_Y	Acc_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
39183	-0.328006	1.026987	9.690552	-0.613842	-0.048055	0.038365	0.787031
39184	-0.340790	1.147970	9.748040	-0.613648	-0.048726	0.038741	0.787122
39185	-0.294856	1.438497	9.844506	-0.613478	-0.049215	0.038687	0.787227
39186	-0.270496	1.495298	9.724388	-0.613358	-0.049488	0.038339	0.787320
39187	-0.284033	1.197362	9.769483	-0.613261	-0.049768	0.037946	0.787397
39188	-0.279864	1.252336	9.737752	-0.613144	-0.050090	0.037713	0.787479
39189	-0.255077	1.210719	9.728090	-0.612985	-0.050451	0.037606	0.787585
39190	-0.331220	1.211309	9.887172	-0.612830	-0.050744	0.037450	0.787694
39191	-0.234444	1.292776	9.773804	-0.612753	-0.050932	0.037213	0.787753
39192	-0.326471	1.220247	9.829757	-0.612699	-0.051124	0.036976	0.787794
39193	-0.372690	1.317259	9.895399	-0.612663	-0.051217	0.036599	0.787833
39194	-0.323685	1.096373	9.760849	-0.612595	-0.051400	0.036458	0.787881
39195	-0.385587	1.155352	9.824509	-0.612468	-0.051612	0.036509	0.787963
39196	-0.352062	1.388745	9.826191	-0.612294	-0.051784	0.036485	0.788088
39197	-0.362481	1.392680	9.837096	-0.612240	-0.051649	0.035997	0.788162
39198	-0.357009	1.226238	9.733360	-0.612200	-0.051617	0.035794	0.788204
39199	-0.387132	1.255626	9.712070	-0.612094	-0.051532	0.035634	0.788300
39200	-0.388551	1.141912	9.771348	-0.611913	-0.051577	0.035602	0.788438
39201	-0.369386	1.068433	9.736982	-0.611653	-0.051799	0.035883	0.788613
39202	-0.348306	1.175317	9.760279	-0.611390	-0.051958	0.036092	0.788797
39203	-0.334010	1.258066	9.692441	-0.611213	-0.051991	0.035933	0.788939
39204	-0.398115	1.119672	9.627276	-0.611039	-0.052051	0.035910	0.789071
39205	-0.375915	1.313321	9.668493	-0.610875	-0.052114	0.035787	0.789199
39206	-0.321169	1.200075	9.602423	-0.610701	-0.052160	0.035590	0.789340
39207	-0.378319	1.212085	9.640511	-0.610499	-0.052427	0.035697	0.789473
39208	-0.385534	1.329702	9.782188	-0.610294	-0.052773	0.035847	0.789602
39209	-0.341926	1.340273	9.646123	-0.610152	-0.053089	0.035867	0.789690
39210	-0.434366	1.233524	9.686158	-0.610032	-0.053309	0.035893	0.789766
39211	-0.334667	1.149360	9.693975	-0.609896	-0.053583	0.035878	0.789853
39212	-0.465005	1.251361	9.887551	-0.609761	-0.053909	0.035749	0.789941
39213	-0.380984	1.324760	9.629615	-0.609716	-0.054153	0.035600	0.789966
39214	-0.365004	1.104519	9.660194	-0.609680	-0.054615	0.035767	0.789954
39215	-0.417165	1.263028	9.685184	-0.609625	-0.055207	0.036104	0.789941
39216	-0.361918	1.536563	9.739662	-0.609546	-0.055599	0.036244	0.789967
39217	-0.334655	1.517928	9.673928	-0.609535	-0.055838	0.035945	0.789973
39218	-0.465067	1.460235	9.774580	-0.609609	-0.056005	0.035374	0.789930
39219	-0.417356	1.281484	9.751383	-0.609746	-0.056075	0.034846	0.789842
