// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Option Flags: AHS Disabled ICC Disabled 
// Firmware Version: 4.3.5
PacketCounter	Acc_X	Acc_Y	Acc_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
40913	-1.287674	8.446329	5.526889	-0.484533	-0.320609	0.352227	0.733740
40914	-1.263379	8.381448	5.512330	-0.484398	-0.320238	0.352494	0.733862
40915	-1.153284	8.372406	5.480160	-0.484523	-0.319836	0.352644	0.733883
40916	-1.167508	8.377051	5.437600	-0.484834	-0.319476	0.352686	0.733814
40917	-1.248939	8.249097	5.404218	-0.485095	-0.319128	0.352588	0.733841
40918	-1.181674	8.048076	5.375505	-0.485155	-0.318862	0.352490	0.733963
40919	-1.179248	7.942122	5.295095	-0.484951	-0.318869	0.352548	0.734068
40920	-1.169729	8.011700	5.263699	-0.484610	-0.319127	0.352756	0.734080
40921	-1.256506	8.070031	5.229202	-0.484253	-0.319507	0.353010	0.734029
40922	-1.313870	8.076384	5.221026	-0.483874	-0.319958	0.353290	0.733947
40923	-1.393606	8.251012	5.149878	-0.483479	-0.320295	0.353482	0.733968
40924	-1.387663	8.198590	5.170602	-0.483130	-0.320444	0.353514	0.734118
40925	-1.428585	8.175080	5.215041	-0.482827	-0.320410	0.353416	0.734379
40926	-1.468996	8.124243	5.279608	-0.482555	-0.320144	0.353212	0.734772
40927	-1.314208	8.152213	5.350863	-0.482332	-0.319703	0.352851	0.735284
40928	-1.235349	8.075110	5.425255	-0.482238	-0.319140	0.352271	0.735867
40929	-1.227391	7.960384	5.496922	-0.482193	-0.318629	0.351582	0.736448
40930	-1.244215	7.867039	5.574127	-0.482196	-0.318204	0.350876	0.736966
40931	-1.334301	7.815482	5.682110	-0.482090	-0.317996	0.350277	0.737410
40932	-1.397758	7.896552	5.747196	-0.481830	-0.317942	0.349855	0.737803
40933	-1.418899	7.934935	5.821583	-0.481403	-0.317983	0.349593	0.738188
40934	-1.394256	8.017162	5.852025	-0.480929	-0.318025	0.349464	0.738541
40935	-1.379020	8.025859	5.789257	-0.480470	-0.318024	0.349375	0.738882
40936	-1.367069	8.008806	5.766385	-0.480067	-0.318001	0.349360	0.739161
40937	-1.324902	8.012605	5.749025	-0.479708	-0.317982	0.349379	0.739393
40938	-1.296051	7.944436	5.723454	-0.479380	-0.318055	0.349491	0.739522
40939	-1.342241	7.975387	5.655430	-0.479053	-0.318252	0.349654	0.739571
40940	-1.360772	7.990481	5.614829	-0.478725	-0.318494	0.349873	0.739576
40941	-1.374163	8.048346	5.585000	-0.478359	-0.318734	0.350151	0.739578
40942	-1.347273	8.069492	5.524423	-0.478003	-0.318941	0.350442	0.739581
40943	-1.313328	8.006583	5.468755	-0.477708	-0.319106	0.350711	0.739573
