// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Option Flags: AHS Disabled ICC Disabled 
// Firmware Version: 4.3.5
PacketCounter	Acc_X	Acc_Y	Acc_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
40913	-2.465242	1.297884	8.826300	-0.836741	-0.011972	-0.165648	-0.521806
40914	-2.728704	1.596709	9.009237	-0.836674	-0.011149	-0.165892	-0.521855
40915	-2.657732	1.718228	9.314484	-0.836585	-0.009872	-0.166339	-0.521881
40916	-2.699334	1.828301	9.531883	-0.836514	-0.008277	-0.166993	-0.521814
40917	-2.662570	1.896497	9.794289	-0.836426	-0.006501	-0.167636	-0.521773
40918	-2.648080	1.841609	9.755740	-0.836353	-0.004722	-0.168163	-0.521739
40919	-2.734520	1.900254	9.661563	-0.836304	-0.003198	-0.168475	-0.521729
40920	-2.652286	1.851129	9.603344	-0.836212	-0.002032	-0.168591	-0.521845
40921	-2.666146	1.689547	9.706860	-0.835985	-0.001375	-0.168832	-0.522132
40922	-2.792775	1.957177	9.913147	-0.835657	-0.001010	-0.169045	-0.522591
40923	-2.712440	1.832638	10.011630	-0.835262	-0.000368	-0.169055	-0.523219
40924	-2.747835	1.618729	10.042926	-0.834846	0.000347	-0.169056	-0.523882
40925	-2.792023	1.501095	9.928775	-0.834448	0.000816	-0.169169	-0.524479
40926	-2.790136	1.543856	9.849820	-0.834096	0.000934	-0.169328	-0.524987
40927	-2.745348	1.592761	9.717100	-0.833733	0.000834	-0.169526	-0.525499
40928	-2.812868	1.898747	9.706010	-0.833489	0.000686	-0.169551	-0.525879
40929	-2.875708	1.963868	9.646322	-0.833389	0.000861	-0.169094	-0.526184
40930	-2.761243	1.759086	9.492104	-0.833431	0.001131	-0.168326	-0.526363
40931	-2.685022	1.511027	9.366180	-0.833565	0.000951	-0.167590	-0.526386
40932	-2.589100	1.471987	9.415368	-0.833729	0.000299	-0.167173	-0.526260
40933	-2.696997	1.639854	9.369775	-0.833903	-0.000612	-0.166909	-0.526068
40934	-2.626233	1.821667	9.273816	-0.834095	-0.001329	-0.166473	-0.525900
40935	-2.591557	1.940114	9.298075	-0.834326	-0.001879	-0.165933	-0.525702
40936	-2.688163	1.984714	9.297073	-0.834570	-0.002100	-0.165199	-0.525545
40937	-2.646267	1.868597	9.302239	-0.834810	-0.002108	-0.164320	-0.525440
40938	-2.663820	1.840300	9.142097	-0.835092	-0.002220	-0.163502	-0.525246
40939	-2.576001	1.825042	9.202805	-0.835411	-0.002139	-0.162631	-0.525009
40940	-2.482042	1.477797	9.072993	-0.835668	-0.001972	-0.161937	-0.524816
40941	-2.595733	1.677103	9.070192	-0.835882	-0.002320	-0.161567	-0.524587
40942	-2.577317	1.867916	9.159796	-0.836122	-0.002288	-0.161058	-0.524362
40943	-2.563235	1.764010	9.024854	-0.836404	-0.002103	-0.160513	-0.524079
40944	-2.530641	1.736187	9.107391	-0.836619	-0.001874	-0.160136	-0.523853
40945	-2.557330	1.767539	9.042785	-0.836786	-0.001518	-0.159852	-0.523674
40946	-2.608089	1.736150	9.232799	-0.836965	-0.001101	-0.159597	-0.523466
40947	-2.509097	1.602937	9.154362	-0.837122	-0.000689	-0.159547	-0.523231
40948	-2.535852	1.570847	9.286830	-0.837162	-0.000743	-0.159831	-0.523080
40949	-2.576687	1.855584	9.328894	-0.837120	-0.000945	-0.160196	-0.523036
40950	-2.660728	2.106266	9.279312	-0.837078	-0.000851	-0.160375	-0.523048
40951	-2.710998	2.109443	9.317069	-0.837098	-0.000315	-0.160213	-0.523067
40952	-2.757734	1.863480	9.363910	-0.837193	0.000416	-0.159779	-0.523047
40953	-2.562236	1.369092	9.285853	-0.837327	0.000783	-0.159562	-0.522899
40954	-2.468152	1.317089	9.302438	-0.837307	0.000339	-0.160052	-0.522781
40955	-2.655341	1.894212	9.358522	-0.837189	-0.000475	-0.160663	-0.522783
40956	-2.710408	2.235782	9.630409	-0.837085	-0.000541	-0.160856	-0.522889
40957	-2.625979	1.993012	9.708425	-0.837045	0.000214	-0.160541	-0.523052
40958	-2.495146	1.462207	9.521800	-0.836950	0.001193	-0.160179	-0.523312
40959	-2.607773	1.295580	9.343292	-0.836720	0.001421	-0.160234	-0.523662
40960	-2.697076	1.642813	9.434268	-0.836415	0.000919	-0.160551	-0.524055
40961	-2.685115	1.972502	9.406435	-0.836137	0.000767	-0.160661	-0.524465
40962	-2.737202	1.974092	9.340237	-0.835939	0.001031	-0.160408	-0.524856
40963	-2.744241	1.780457	9.402213	-0.835872	0.001556	-0.159784	-0.525152
40964	-2.540212	1.316372	9.381771	-0.835811	0.002270	-0.159161	-0.525435
40965	-2.489089	1.052233	9.114762	-0.835701	0.002262	-0.159011	-0.525656
40966	-2.595310	1.431656	9.172983	-0.835602	0.001688	-0.159187	-0.525763
40967	-2.626523	1.723521	9.144233	-0.835587	0.001531	-0.159155	-0.525796
40968	-2.604361	1.534892	9.059678	-0.835678	0.001685	-0.158869	-0.525737
40969	-2.523215	1.526737	9.027569	-0.835843	0.001759	-0.158557	-0.525570
40970	-2.517222	1.407542	8.905663	-0.835974	0.001938	-0.158257	-0.525451
40971	-2.616972	1.319494	8.647921	-0.836039	0.001704	-0.158379	-0.525311
40972	-2.721690	1.558721	8.613373	-0.836060	0.001218	-0.158861	-0.525134
40973	-2.810497	1.887462	8.379623	-0.836122	0.001091	-0.159268	-0.524913
40974	-2.827311	1.853250	8.053067	-0.836310	0.001811	-0.159323	-0.524594
40975	-2.964175	1.796512	7.446318	-0.836731	0.002699	-0.159223	-0.523949
40976	-3.181529	1.858840	6.923007	-0.837513	0.003391	-0.159080	-0.522736
40977	-3.546965	1.539555	7.181029	-0.838668	0.003652	-0.159008	-0.520902
40978	-3.192729	1.094141	7.264173	-0.839899	0.003089	-0.159337	-0.518817
40979	-2.780527	0.957901	7.255478	-0.841046	0.001686	-0.160523	-0.516595
40980	-2.750667	0.899358	7.053036	-0.842185	0.000111	-0.162654	-0.514070
40981	-2.849450	0.614896	6.270449	-0.843447	-0.001109	-0.166133	-0.510878
40982	-3.709245	0.463202	6.296446	-0.844793	-0.003006	-0.171075	-0.507000
40983	-3.843902	1.020752	6.795510	-0.846256	-0.004692	-0.175620	-0.502977
40984	-3.205147	0.868976	6.341318	-0.847870	-0.004098	-0.180079	-0.498670
40985	-3.173273	0.498761	5.721801	-0.849613	-0.000992	-0.185999	-0.493519
40986	-3.653165	-0.293232	5.837307	-0.851489	0.002752	-0.194859	-0.486816
40987	-4.353612	-1.234472	6.406707	-0.853159	0.003448	-0.207099	-0.478766
40988	-3.796494	0.233954	7.499173	-0.854606	0.001000	-0.220114	-0.470316
40989	-3.554821	1.015976	6.476772	-0.855570	0.000299	-0.233519	-0.462026
40990	-4.782197	0.752423	5.731606	-0.856739	0.003787	-0.246840	-0.452830
40991	-6.715945	-0.299373	5.749090	-0.858430	0.010272	-0.261424	-0.441191
40992	-8.539235	-0.611762	6.642143	-0.861132	0.015024	-0.275516	-0.426985
40993	-7.171044	0.167856	7.601824	-0.864927	0.018311	-0.287701	-0.410846
40994	-5.939325	0.337977	6.948716	-0.868489	0.023838	-0.299620	-0.394190
40995	-6.467799	0.158574	6.043090	-0.871327	0.034027	-0.311807	-0.377369
40996	-8.620445	-0.736978	6.045497	-0.873679	0.046818	-0.325076	-0.358913
40997	-10.458765	-1.465447	6.809512	-0.876100	0.058355	-0.339205	-0.337615
40998	-10.003392	-1.128523	8.254797	-0.878961	0.067409	-0.352461	-0.314093
40999	-8.286981	-0.618467	8.507443	-0.881509	0.076490	-0.364749	-0.289912
41000	-7.138295	-0.469352	7.172769	-0.882839	0.088542	-0.377312	-0.265313
41001	-7.055215	-1.500923	6.482000	-0.881848	0.107131	-0.390386	-0.241797
41002	-10.298112	-4.314977	6.616810	-0.879700	0.125929	-0.404154	-0.216631
41003	-12.838317	-4.065845	7.166473	-0.877598	0.140487	-0.418415	-0.187118
41004	-13.329733	-2.099909	8.947316	-0.875899	0.153070	-0.430454	-0.155180
41005	-11.506731	-1.610495	9.096586	-0.874473	0.166290	-0.438476	-0.124031
41006	-9.125988	-2.659246	8.742528	-0.872173	0.182615	-0.443766	-0.095067
41007	-8.470345	-4.359743	8.173068	-0.868189	0.201447	-0.448524	-0.067037
41008	-10.767888	-4.886611	8.744539	-0.863062	0.220528	-0.452788	-0.038407
41009	-12.310089	-3.954912	9.972325	-0.858380	0.238676	-0.454036	-0.008284
