// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Option Flags: AHS Disabled ICC Disabled 
// Firmware Version: 4.3.5
PacketCounter	Acc_X	Acc_Y	Acc_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
43442	-9.522766	-0.060106	-2.321647	0.610106	0.091956	0.783196	-0.076933
43443	-9.461653	-0.103303	-2.488184	0.609993	0.092025	0.783263	-0.077058
43444	-9.515604	-0.067057	-2.305291	0.609933	0.092125	0.783278	-0.077265
43445	-9.422187	-0.036191	-2.498289	0.609884	0.092053	0.783326	-0.077255
43446	-9.526129	-0.035680	-2.453069	0.609786	0.092060	0.783391	-0.077352
43447	-9.532428	-0.075008	-2.327720	0.609661	0.091946	0.783500	-0.077377
43448	-9.517338	-0.036171	-2.280213	0.609620	0.091735	0.783566	-0.077282
43449	-9.454119	-0.165406	-2.490355	0.609554	0.091711	0.783610	-0.077384
43450	-9.487654	-0.156080	-2.422421	0.609410	0.091624	0.783728	-0.077426
43451	-9.489075	-0.152326	-2.411980	0.609300	0.091532	0.783819	-0.077487
43452	-9.488436	-0.154214	-2.414372	0.609202	0.091387	0.783912	-0.077483
43453	-9.478169	-0.153947	-2.464547	0.609081	0.091312	0.784011	-0.077521
43454	-9.454268	-0.125930	-2.412116	0.608935	0.091262	0.784120	-0.077621
43455	-9.539427	-0.177433	-2.375189	0.608862	0.091243	0.784171	-0.077700
43456	-9.496173	-0.200044	-2.440747	0.608827	0.091116	0.784215	-0.077680
43457	-9.518302	-0.181981	-2.374405	0.608681	0.091076	0.784321	-0.077795
43458	-9.498223	-0.198204	-2.320046	0.608537	0.091026	0.784427	-0.077915
43459	-9.529766	-0.085271	-2.329232	0.608424	0.091005	0.784505	-0.078038
43460	-9.541251	-0.145333	-2.452662	0.608403	0.090904	0.784535	-0.078022
43461	-9.509126	-0.151799	-2.509362	0.608421	0.090928	0.784505	-0.078154
43462	-9.542060	-0.202319	-2.363636	0.608451	0.090965	0.784466	-0.078269
43463	-9.484452	-0.238775	-2.401110	0.608563	0.090884	0.784394	-0.078213
43464	-9.486517	-0.208302	-2.379789	0.608647	0.090937	0.784312	-0.078316
43465	-9.430476	-0.196778	-2.550791	0.608710	0.090979	0.784254	-0.078359
43466	-9.473213	-0.126195	-2.362302	0.608647	0.091113	0.784264	-0.078596
