// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Option Flags: AHS Disabled ICC Disabled 
// Firmware Version: 4.3.5
PacketCounter	Acc_X	Acc_Y	Acc_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
55285	-0.023183	-0.012062	9.808688	-0.996566	0.000764	-0.000830	0.082798
55286	-0.015165	0.005760	9.801072	-0.996565	0.000767	-0.000820	0.082812
55287	-0.009230	-0.007339	9.803782	-0.996564	0.000753	-0.000840	0.082816
55288	-0.019954	-0.029299	9.797868	-0.996564	0.000762	-0.000831	0.082817
55289	-0.010264	-0.038144	9.814111	-0.996564	0.000747	-0.000837	0.082813
55290	-0.002283	-0.020262	9.806492	-0.996564	0.000756	-0.000820	0.082821
55291	-0.001557	-0.011072	9.771808	-0.996569	0.000738	-0.000820	0.082761
55292	-0.014382	-0.024660	9.811405	-0.996569	0.000738	-0.000811	0.082764
55293	0.017866	-0.028825	9.804288	-0.996568	0.000737	-0.000810	0.082774
55294	-0.009472	-0.010896	9.790254	-0.996568	0.000723	-0.000804	0.082768
55295	-0.001929	-0.002122	9.817316	-0.996567	0.000722	-0.000822	0.082781
55296	-0.006733	-0.028303	9.779432	-0.996569	0.000733	-0.000806	0.082760
55297	-0.013636	0.002527	9.787547	-0.996570	0.000727	-0.000799	0.082753
55298	0.001767	-0.019575	9.806494	-0.996569	0.000726	-0.000791	0.082756
55299	0.002200	-0.019469	9.806494	-0.996569	0.000724	-0.000799	0.082755
55300	-0.008580	0.007253	9.801079	-0.996569	0.000712	-0.000795	0.082760
55301	-0.013524	-0.027921	9.797883	-0.996570	0.000715	-0.000797	0.082746
55302	-0.009289	-0.023683	9.811413	-0.996570	0.000725	-0.000781	0.082752
55303	-0.005189	-0.019267	9.824944	-0.996570	0.000708	-0.000795	0.082742
55304	0.012119	-0.001340	9.798866	-0.996571	0.000734	-0.000788	0.082741
55305	-0.007891	-0.023480	9.811415	-0.996571	0.000700	-0.000796	0.082740
55306	-0.007403	-0.023214	9.811416	-0.996572	0.000712	-0.000785	0.082724
55307	-0.016094	-0.014250	9.795182	-0.996572	0.000707	-0.000789	0.082719
55308	-0.001071	0.012132	9.814610	-0.996572	0.000712	-0.000798	0.082718
55309	-0.009729	-0.027461	9.797889	-0.996572	0.000710	-0.000788	0.082721
55310	0.007501	-0.018591	9.806493	-0.996572	0.000711	-0.000787	0.082729
55311	-0.014410	-0.013904	9.795185	-0.996572	0.000695	-0.000798	0.082721
55312	0.004515	-0.022512	9.792966	-0.996573	0.000699	-0.000803	0.082714
55313	-0.010289	-0.018545	9.843400	-0.996571	0.000691	-0.000804	0.082732
55314	-0.013024	-0.013548	9.795187	-0.996572	0.000696	-0.000776	0.082722
55315	-0.021486	-0.004600	9.778957	-0.996572	0.000703	-0.000775	0.082718
55316	0.014287	-0.004665	9.785331	-0.996572	0.000711	-0.000778	0.082720
55317	0.011105	-0.018219	9.806490	-0.996572	0.000719	-0.000758	0.082720
55318	-0.006896	-0.009530	9.808716	-0.996572	0.000727	-0.000760	0.082723
55319	-0.023141	-0.018206	9.800122	-0.996572	0.000714	-0.000762	0.082723
55320	-0.022726	-0.018068	9.800123	-0.996573	0.000719	-0.000765	0.082715
55321	-0.018737	-0.013629	9.813650	-0.996573	0.000705	-0.000771	0.082710
55322	0.007871	-0.004443	9.803785	-0.996572	0.000704	-0.000756	0.082719
55323	-0.017515	-0.013225	9.813652	-0.996573	0.000693	-0.000743	0.082717
55324	0.009199	-0.004034	9.803784	-0.996572	0.000690	-0.000737	0.082721
55325	-0.012533	0.000565	9.792492	-0.996572	0.000687	-0.000737	0.082720
55326	-0.002749	-0.008453	9.808719	-0.996573	0.000701	-0.000729	0.082710
55327	0.003540	-0.012493	9.776734	-0.996573	0.000687	-0.000730	0.082709
55328	-0.008961	-0.016869	9.781672	-0.996573	0.000696	-0.000721	0.082711
55329	-0.014112	-0.012738	9.813659	-0.996574	0.000691	-0.000715	0.082705
55330	-0.011693	-0.030171	9.802838	-0.996573	0.000689	-0.000720	0.082709
55331	0.001795	-0.025671	9.797899	-0.996573	0.000695	-0.000718	0.082706
55332	-0.007027	-0.025939	9.816362	-0.996573	0.000704	-0.000709	0.082708
55333	-0.002731	-0.012441	9.795197	-0.996574	0.000697	-0.000717	0.082702
55334	-0.017265	0.000879	9.810961	-0.996574	0.000682	-0.000712	0.082696
55335	-0.027847	-0.021020	9.805084	-0.996575	0.000689	-0.000712	0.082691
55336	0.006076	-0.003361	9.822242	-0.996574	0.000677	-0.000707	0.082696
55337	0.008493	-0.020735	9.811421	-0.996574	0.000676	-0.000711	0.082700
55338	-0.013211	-0.016248	9.800144	-0.996574	0.000685	-0.000698	0.082705
55339	-0.003194	-0.016139	9.781677	-0.996574	0.000690	-0.000695	0.082702
55340	0.000953	-0.011818	9.795198	-0.996574	0.000688	-0.000693	0.082700
55341	-0.020788	-0.007206	9.783925	-0.996574	0.000687	-0.000686	0.082703
55342	0.001897	-0.011711	9.795198	-0.996573	0.000694	-0.000701	0.082707
55343	-0.005232	-0.029363	9.802846	-0.996573	0.000682	-0.000701	0.082706
55344	0.006421	-0.007211	9.808719	-0.996573	0.000691	-0.000692	0.082707
55345	-0.006139	-0.011567	9.813668	-0.996574	0.000676	-0.000699	0.082702
55346	-0.026083	-0.024487	9.791580	-0.996574	0.000683	-0.000697	0.082699
55347	-0.005212	-0.011429	9.813669	-0.996573	0.000682	-0.000694	0.082710
55348	-0.010279	0.001905	9.810971	-0.996573	0.000683	-0.000692	0.082718
55349	-0.000469	0.002199	9.792499	-0.996573	0.000678	-0.000697	0.082711
55350	-0.001899	-0.028574	9.802850	-0.996574	0.000664	-0.000693	0.082706
55351	-0.019968	-0.019820	9.805105	-0.996574	0.000689	-0.000688	0.082701
55352	0.017661	-0.037619	9.800592	-0.996573	0.000690	-0.000701	0.082717
55353	-0.004143	-0.032927	9.789331	-0.996573	0.000676	-0.000685	0.082711
55354	-0.014735	-0.015354	9.818627	-0.996572	0.000677	-0.000676	0.082725
55355	0.015665	0.007086	9.787542	-0.996571	0.000678	-0.000678	0.082739
55356	-0.019264	-0.001987	9.815932	-0.996571	0.000678	-0.000668	0.082742
55357	0.005413	-0.023933	9.816368	-0.996571	0.000673	-0.000673	0.082736
55358	0.000311	-0.001516	9.778981	-0.996569	0.000684	-0.000680	0.082756
55359	-0.015895	-0.019439	9.805114	-0.996571	0.000678	-0.000659	0.082741
55360	-0.011684	-0.015038	9.818632	-0.996569	0.000679	-0.000671	0.082759
55361	-0.000021	-0.032329	9.789334	-0.996570	0.000674	-0.000668	0.082750
55362	-0.018113	-0.023325	9.791600	-0.996569	0.000663	-0.000667	0.082761
55363	-0.010068	-0.005389	9.783943	-0.996569	0.000660	-0.000654	0.082759
55364	0.005285	-0.027504	9.802852	-0.996570	0.000655	-0.000659	0.082753
55365	-0.018494	-0.005291	9.802424	-0.996570	0.000652	-0.000658	0.082751
55366	-0.010511	-0.035955	9.794301	-0.996571	0.000643	-0.000654	0.082734
55367	-0.010101	0.012671	9.794765	-0.996570	0.000652	-0.000662	0.082744
55368	0.001506	-0.013803	9.800156	-0.996570	0.000642	-0.000656	0.082748
55369	-0.001566	-0.017932	9.786642	-0.996569	0.000643	-0.000648	0.082761
55370	-0.010378	-0.018233	9.805123	-0.996569	0.000661	-0.000650	0.082762
55371	-0.009919	-0.018372	9.805124	-0.996570	0.000664	-0.000649	0.082748
55372	-0.013020	-0.022592	9.791610	-0.996570	0.000661	-0.000637	0.082746
55373	0.019210	-0.026804	9.784366	-0.996570	0.000657	-0.000636	0.082744
55374	-0.004543	-0.004615	9.783948	-0.996570	0.000656	-0.000640	0.082748
55375	-0.009674	0.008613	9.781255	-0.996571	0.000669	-0.000640	0.082732
55376	-0.025946	-0.009192	9.807405	-0.996570	0.000652	-0.000634	0.082748
55377	0.002588	-0.017545	9.786642	-0.996571	0.000647	-0.000629	0.082740
55378	-0.004334	-0.035174	9.794309	-0.996570	0.000647	-0.000627	0.082748
55379	-0.009441	-0.021915	9.791616	-0.996570	0.000655	-0.000631	0.082751
55380	0.002035	0.000213	9.797461	-0.996570	0.000642	-0.000643	0.082751
55381	-0.016265	-0.039364	9.799285	-0.996570	0.000642	-0.000648	0.082755
55382	-0.008385	-0.021428	9.791618	-0.996570	0.000630	-0.000647	0.082755
55383	0.008812	-0.012615	9.800154	-0.996571	0.000643	-0.000647	0.082739
