// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Option Flags: AHS Disabled ICC Disabled 
// Firmware Version: 4.3.5
PacketCounter	Acc_X	Acc_Y	Acc_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
55285	0.021829	0.099336	9.776752	0.999651	0.005478	-0.001701	-0.025791
55286	0.035290	0.112047	9.816384	0.999651	0.005481	-0.001689	-0.025790
55287	0.024082	0.102351	9.817934	0.999651	0.005488	-0.001696	-0.025787
55288	0.037897	0.087952	9.817418	0.999651	0.005493	-0.001701	-0.025801
55289	0.031076	0.096295	9.827969	0.999651	0.005484	-0.001706	-0.025794
55290	0.034330	0.071563	9.829010	0.999651	0.005488	-0.001701	-0.025796
55291	0.029784	0.096922	9.827967	0.999651	0.005482	-0.001716	-0.025804
55292	0.043596	0.082360	9.827459	0.999650	0.005486	-0.001711	-0.025806
55293	0.032745	0.088511	9.796821	0.999651	0.005493	-0.001708	-0.025800
55294	0.027854	0.098142	9.827961	0.999651	0.005494	-0.001722	-0.025799
55295	0.033451	0.090543	9.817411	0.999651	0.005499	-0.001713	-0.025791
55296	0.028814	0.115813	9.816362	0.999651	0.005482	-0.001723	-0.025793
55297	0.025949	0.099118	9.827956	0.999651	0.005494	-0.001721	-0.025797
55298	0.035378	0.066489	9.818459	0.999651	0.005488	-0.001715	-0.025794
55299	0.024394	0.099837	9.827953	0.999651	0.005487	-0.001715	-0.025788
55300	0.026130	0.089804	9.776219	0.999651	0.005486	-0.001715	-0.025781
55301	0.018940	0.082258	9.818954	0.999651	0.005478	-0.001724	-0.025777
55302	0.039335	0.102967	9.815856	0.999651	0.005488	-0.001736	-0.025776
55303	0.019734	0.084186	9.839544	0.999651	0.005479	-0.001728	-0.025792
55304	0.044129	0.095601	9.805314	0.999651	0.005481	-0.001719	-0.025801
55305	0.016539	0.083583	9.818947	0.999651	0.005473	-0.001747	-0.025796
55306	0.032651	0.086167	9.806857	0.999651	0.005490	-0.001730	-0.025794
55307	0.060664	0.100101	9.813821	0.999651	0.005482	-0.001714	-0.025788
55308	0.041236	0.097051	9.805312	0.999651	0.005480	-0.001713	-0.025780
55309	0.036178	0.106558	9.836445	0.999651	0.005476	-0.001711	-0.025781
55310	0.023259	0.095266	9.817395	0.999651	0.005449	-0.001720	-0.025791
55311	0.045295	0.073656	9.826975	0.999651	0.005450	-0.001722	-0.025777
55312	0.040141	0.083122	9.858108	0.999651	0.005440	-0.001709	-0.025790
55313	0.046055	0.091215	9.815375	0.999651	0.005444	-0.001718	-0.025779
55314	0.020131	0.080554	9.849589	0.999651	0.005452	-0.001707	-0.025788
55315	0.019734	0.096716	9.817389	0.999651	0.005441	-0.001705	-0.025788
55316	0.045735	0.093465	9.835971	0.999651	0.005442	-0.001699	-0.025796
55317	0.028263	0.091649	9.848045	0.999651	0.005438	-0.001695	-0.025797
55318	0.025744	0.090737	9.827448	0.999650	0.005434	-0.001703	-0.025819
