# SentenceBreakProperty-5.0.0.txt
# Date: 2006-03-09, 23:14:25 GMT [MD]
#
# Unicode Character Database
# Copyright (c) 1991-2006 Unicode, Inc.
# For terms of use, see http://www.unicode.org/terms_of_use.html
# For documentation, see UCD.html

# ================================================

# Property:	Sentence_Break

#  All code points not explicitly listed for Sentence_Break
#  have the value Other (XX).

# @missing: 0000..10FFFF; Other

# ================================================

000A          ; Sep # Cc       <control-000A>
000D          ; Sep # Cc       <control-000D>
0085          ; Sep # Cc       <control-0085>
2028          ; Sep # Zl       LINE SEPARATOR
2029          ; Sep # Zp       PARAGRAPH SEPARATOR

# Total code points: 5

# ================================================

00AD          ; Format # Cf       SOFT HYPHEN
0600..0603    ; Format # Cf   [4] ARABIC NUMBER SIGN..ARABIC SIGN SAFHA
06DD          ; Format # Cf       ARABIC END OF AYAH
070F          ; Format # Cf       SYRIAC ABBREVIATION MARK
17B4..17B5    ; Format # Cf   [2] KHMER VOWEL INHERENT AQ..KHMER VOWEL INHERENT AA
200B          ; Format # Cf       ZERO WIDTH SPACE
200E..200F    ; Format # Cf   [2] LEFT-TO-RIGHT MARK..RIGHT-TO-LEFT MARK
202A..202E    ; Format # Cf   [5] LEFT-TO-RIGHT EMBEDDING..RIGHT-TO-LEFT OVERRIDE
2060..2063    ; Format # Cf   [4] WORD JOINER..INVISIBLE SEPARATOR
206A..206F    ; Format # Cf   [6] INHIBIT SYMMETRIC SWAPPING..NOMINAL DIGIT SHAPES
FEFF          ; Format # Cf       ZERO WIDTH NO-BREAK SPACE
FFF9..FFFB    ; Format # Cf   [3] INTERLINEAR ANNOTATION ANCHOR..INTERLINEAR ANNOTATION TERMINATOR
1D173..1D17A  ; Format # Cf   [8] MUSICAL SYMBOL BEGIN BEAM..MUSICAL SYMBOL END PHRASE
E0001         ; Format # Cf       LANGUAGE TAG
E0020..E007F  ; Format # Cf  [96] TAG SPACE..CANCEL TAG

# Total code points: 136

# ================================================

0009          ; Sp # Cc       <control-0009>
000B..000C    ; Sp # Cc   [2] <control-000B>..<control-000C>
0020          ; Sp # Zs       SPACE
1680          ; Sp # Zs       OGHAM SPACE MARK
180E          ; Sp # Zs       MONGOLIAN VOWEL SEPARATOR
2000..200A    ; Sp # Zs  [11] EN QUAD..HAIR SPACE
202F          ; Sp # Zs       NARROW NO-BREAK SPACE
205F          ; Sp # Zs       MEDIUM MATHEMATICAL SPACE
3000          ; Sp # Zs       IDEOGRAPHIC SPACE

# Total code points: 20

# ================================================

0061..007A    ; Lower # L&  [26] LATIN SMALL LETTER A..LATIN SMALL LETTER Z
00AA          ; Lower # L&       FEMININE ORDINAL INDICATOR
00B5          ; Lower # L&       MICRO SIGN
00BA          ; Lower # L&       MASCULINE ORDINAL INDICATOR
00DF..00F6    ; Lower # L&  [24] LATIN SMALL LETTER SHARP S..LATIN SMALL LETTER O WITH DIAERESIS
00F8..00FF    ; Lower # L&   [8] LATIN SMALL LETTER O WITH STROKE..LATIN SMALL LETTER Y WITH DIAERESIS
0101          ; Lower # L&       LATIN SMALL LETTER A WITH MACRON
0103          ; Lower # L&       LATIN SMALL LETTER A WITH BREVE
0105          ; Lower # L&       LATIN SMALL LETTER A WITH OGONEK
0107          ; Lower # L&       LATIN SMALL LETTER C WITH ACUTE
0109          ; Lower # L&       LATIN SMALL LETTER C WITH CIRCUMFLEX
010B          ; Lower # L&       LATIN SMALL LETTER C WITH DOT ABOVE
010D          ; Lower # L&       LATIN SMALL LETTER C WITH CARON
010F          ; Lower # L&       LATIN SMALL LETTER D WITH CARON
0111          ; Lower # L&       LATIN SMALL LETTER D WITH STROKE
0113          ; Lower # L&       LATIN SMALL LETTER E WITH MACRON
0115          ; Lower # L&       LATIN SMALL LETTER E WITH BREVE
0117          ; Lower # L&       LATIN SMALL LETTER E WITH DOT ABOVE
0119          ; Lower # L&       LATIN SMALL LETTER E WITH OGONEK
011B          ; Lower # L&       LATIN SMALL LETTER E WITH CARON
011D          ; Lower # L&       LATIN SMALL LETTER G WITH CIRCUMFLEX
011F          ; Lower # L&       LATIN SMALL LETTER G WITH BREVE
0121          ; Lower # L&       LATIN SMALL LETTER G WITH DOT ABOVE
0123          ; Lower # L&       LATIN SMALL LETTER G WITH CEDILLA
0125          ; Lower # L&       LATIN SMALL LETTER H WITH CIRCUMFLEX
0127          ; Lower # L&       LATIN SMALL LETTER H WITH STROKE
0129          ; Lower # L&       LATIN SMALL LETTER I WITH TILDE
012B          ; Lower # L&       LATIN SMALL LETTER I WITH MACRON
012D          ; Lower # L&       LATIN SMALL LETTER I WITH BREVE
012F          ; Lower # L&       LATIN SMALL LETTER I WITH OGONEK
0131          ; Lower # L&       LATIN SMALL LETTER DOTLESS I
0133          ; Lower # L&       LATIN SMALL LIGATURE IJ
0135          ; Lower # L&       LATIN SMALL LETTER J WITH CIRCUMFLEX
0137..0138    ; Lower # L&   [2] LATIN SMALL LETTER K WITH CEDILLA..LATIN SMALL LETTER KRA
013A          ; Lower # L&       LATIN SMALL LETTER L WITH ACUTE
013C          ; Lower # L&       LATIN SMALL LETTER L WITH CEDILLA
013E          ; Lower # L&       LATIN SMALL LETTER L WITH CARON
0140          ; Lower # L&       LATIN SMALL LETTER L WITH MIDDLE DOT
0142          ; Lower # L&       LATIN SMALL LETTER L WITH STROKE
0144          ; Lower # L&       LATIN SMALL LETTER N WITH ACUTE
0146          ; Lower # L&       LATIN SMALL LETTER N WITH CEDILLA
0148..0149    ; Lower # L&   [2] LATIN SMALL LETTER N WITH CARON..LATIN SMALL LETTER N PRECEDED BY APOSTROPHE
014B          ; Lower # L&       LATIN SMALL LETTER ENG
014D          ; Lower # L&       LATIN SMALL LETTER O WITH MACRON
014F          ; Lower # L&       LATIN SMALL LETTER O WITH BREVE
0151          ; Lower # L&       LATIN SMALL LETTER O WITH DOUBLE ACUTE
0153          ; Lower # L&       LATIN SMALL LIGATURE OE
0155          ; Lower # L&       LATIN SMALL LETTER R WITH ACUTE
0157          ; Lower # L&       LATIN SMALL LETTER R WITH CEDILLA
0159          ; Lower # L&       LATIN SMALL LETTER R WITH CARON
015B          ; Lower # L&       LATIN SMALL LETTER S WITH ACUTE
015D          ; Lower # L&       LATIN SMALL LETTER S WITH CIRCUMFLEX
015F          ; Lower # L&       LATIN SMALL LETTER S WITH CEDILLA
0161          ; Lower # L&       LATIN SMALL LETTER S WITH CARON
0163          ; Lower # L&       LATIN SMALL LETTER T WITH CEDILLA
0165          ; Lower # L&       LATIN SMALL LETTER T WITH CARON
0167          ; Lower # L&       LATIN SMALL LETTER T WITH STROKE
0169          ; Lower # L&       LATIN SMALL LETTER U WITH TILDE
016B          ; Lower # L&       LATIN SMALL LETTER U WITH MACRON
016D          ; Lower # L&       LATIN SMALL LETTER U WITH BREVE
016F          ; Lower # L&       LATIN SMALL LETTER U WITH RING ABOVE
0171          ; Lower # L&       LATIN SMALL LETTER U WITH DOUBLE ACUTE
0173          ; Lower # L&       LATIN SMALL LETTER U WITH OGONEK
0175          ; Lower # L&       LATIN SMALL LETTER W WITH CIRCUMFLEX
0177          ; Lower # L&       LATIN SMALL LETTER Y WITH CIRCUMFLEX
017A          ; Lower # L&       LATIN SMALL LETTER Z WITH ACUTE
017C          ; Lower # L&       LATIN SMALL LETTER Z WITH DOT ABOVE
017E..0180    ; Lower # L&   [3] LATIN SMALL LETTER Z WITH CARON..LATIN SMALL LETTER B WITH STROKE
0183          ; Lower # L&       LATIN SMALL LETTER B WITH TOPBAR
0185          ; Lower # L&       LATIN SMALL LETTER TONE SIX
0188          ; Lower # L&       LATIN SMALL LETTER C WITH HOOK
018C..018D    ; Lower # L&   [2] LATIN SMALL LETTER D WITH TOPBAR..LATIN SMALL LETTER TURNED DELTA
0192          ; Lower # L&       LATIN SMALL LETTER F WITH HOOK
0195          ; Lower # L&       LATIN SMALL LETTER HV
0199..019B    ; Lower # L&   [3] LATIN SMALL LETTER K WITH HOOK..LATIN SMALL LETTER LAMBDA WITH STROKE
019E          ; Lower # L&       LATIN SMALL LETTER N WITH LONG RIGHT LEG
01A1          ; Lower # L&       LATIN SMALL LETTER O WITH HORN
01A3          ; Lower # L&       LATIN SMALL LETTER OI
01A5          ; Lower # L&       LATIN SMALL LETTER P WITH HOOK
01A8          ; Lower # L&       LATIN SMALL LETTER TONE TWO
01AA..01AB    ; Lower # L&   [2] LATIN LETTER REVERSED ESH LOOP..LATIN SMALL LETTER T WITH PALATAL HOOK
01AD          ; Lower # L&       LATIN SMALL LETTER T WITH HOOK
01B0          ; Lower # L&       LATIN SMALL LETTER U WITH HORN
01B4          ; Lower # L&       LATIN SMALL LETTER Y WITH HOOK
01B6          ; Lower # L&       LATIN SMALL LETTER Z WITH STROKE
01B9..01BA    ; Lower # L&   [2] LATIN SMALL LETTER EZH REVERSED..LATIN SMALL LETTER EZH WITH TAIL
01BD..01BF    ; Lower # L&   [3] LATIN SMALL LETTER TONE FIVE..LATIN LETTER WYNN
01C6          ; Lower # L&       LATIN SMALL LETTER DZ WITH CARON
01C9          ; Lower # L&       LATIN SMALL LETTER LJ
01CC          ; Lower # L&       LATIN SMALL LETTER NJ
01CE          ; Lower # L&       LATIN SMALL LETTER A WITH CARON
01D0          ; Lower # L&       LATIN SMALL LETTER I WITH CARON
01D2          ; Lower # L&       LATIN SMALL LETTER O WITH CARON
01D4          ; Lower # L&       LATIN SMALL LETTER U WITH CARON
01D6          ; Lower # L&       LATIN SMALL LETTER U WITH DIAERESIS AND MACRON
01D8          ; Lower # L&       LATIN SMALL LETTER U WITH DIAERESIS AND ACUTE
01DA          ; Lower # L&       LATIN SMALL LETTER U WITH DIAERESIS AND CARON
01DC..01DD    ; Lower # L&   [2] LATIN SMALL LETTER U WITH DIAERESIS AND GRAVE..LATIN SMALL LETTER TURNED E
01DF          ; Lower # L&       LATIN SMALL LETTER A WITH DIAERESIS AND MACRON
01E1          ; Lower # L&       LATIN SMALL LETTER A WITH DOT ABOVE AND MACRON
01E3          ; Lower # L&       LATIN SMALL LETTER AE WITH MACRON
01E5          ; Lower # L&       LATIN SMALL LETTER G WITH STROKE
01E7          ; Lower # L&       LATIN SMALL LETTER G WITH CARON
01E9          ; Lower # L&       LATIN SMALL LETTER K WITH CARON
01EB          ; Lower # L&       LATIN SMALL LETTER O WITH OGONEK
01ED          ; Lower # L&       LATIN SMALL LETTER O WITH OGONEK AND MACRON
01EF..01F0    ; Lower # L&   [2] LATIN SMALL LETTER EZH WITH CARON..LATIN SMALL LETTER J WITH CARON
01F3          ; Lower # L&       LATIN SMALL LETTER DZ
01F5          ; Lower # L&       LATIN SMALL LETTER G WITH ACUTE
01F9          ; Lower # L&       LATIN SMALL LETTER N WITH GRAVE
01FB          ; Lower # L&       LATIN SMALL LETTER A WITH RING ABOVE AND ACUTE
01FD          ; Lower # L&       LATIN SMALL LETTER AE WITH ACUTE
01FF          ; Lower # L&       LATIN SMALL LETTER O WITH STROKE AND ACUTE
0201          ; Lower # L&       LATIN SMALL LETTER A WITH DOUBLE GRAVE
0203          ; Lower # L&       LATIN SMALL LETTER A WITH INVERTED BREVE
0205          ; Lower # L&       LATIN SMALL LETTER E WITH DOUBLE GRAVE
0207          ; Lower # L&       LATIN SMALL LETTER E WITH INVERTED BREVE
0209          ; Lower # L&       LATIN SMALL LETTER I WITH DOUBLE GRAVE
020B          ; Lower # L&       LATIN SMALL LETTER I WITH INVERTED BREVE
020D          ; Lower # L&       LATIN SMALL LETTER O WITH DOUBLE GRAVE
020F          ; Lower # L&       LATIN SMALL LETTER O WITH INVERTED BREVE
0211          ; Lower # L&       LATIN SMALL LETTER R WITH DOUBLE GRAVE
0213          ; Lower # L&       LATIN SMALL LETTER R WITH INVERTED BREVE
0215          ; Lower # L&       LATIN SMALL LETTER U WITH DOUBLE GRAVE
0217          ; Lower # L&       LATIN SMALL LETTER U WITH INVERTED BREVE
0219          ; Lower # L&       LATIN SMALL LETTER S WITH COMMA BELOW
021B          ; Lower # L&       LATIN SMALL LETTER T WITH COMMA BELOW
021D          ; Lower # L&       LATIN SMALL LETTER YOGH
021F          ; Lower # L&       LATIN SMALL LETTER H WITH CARON
